museum,source_label,canonical_components,record_count,proposal_decision,review_decision,final_canonical_components,attribution_type,strict_ground_truth_eligible,review_status,review_note,reviewer,review_date
CMA,"Central Andes, Northern Central Coast",,1,excluir_no_atribuida,exclude,,unattributed,False,pending_curatorial_review,La etiqueta no identifica una cultura específica y no es válida para ground truth cultural.,,
CMA,"Peru, North Coast, 9th-12th Century",,1,excluir_no_atribuida,exclude,,unattributed,False,pending_curatorial_review,La etiqueta no identifica una cultura específica y no es válida para ground truth cultural.,,
MET,Peruvian,,11,excluir_no_atribuida,exclude,,unattributed,False,pending_curatorial_review,La etiqueta no identifica una cultura específica y no es válida para ground truth cultural.,,
CMA,"Central Andes, Central Coast, Ychsma (Pachacamac) people",Ychsma,2,propuesta_aceptable,include_strict,Ychsma,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, Middle Horizon, Wari, 6th-11th century",Wari,3,propuesta_aceptable,include_strict,Wari,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, North Coast, Chimú people",Chimu,1,propuesta_aceptable,include_strict,Chimu,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, South Coast, Nasca people",Nasca,1,propuesta_aceptable,include_strict,Nasca,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, central coast, Chancay people",Chancay,1,propuesta_aceptable,include_strict,Chancay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,16,propuesta_aceptable,include_strict,Chancay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",Chancay,2,propuesta_aceptable,include_strict,Chancay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Inca, 15th-16th century",Inca,1,propuesta_aceptable,include_strict,Inca,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Moche, north coast",Moche,4,propuesta_aceptable,include_strict,Moche,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, North Coast, Chimú Culture, 12th-15th century",Chimu,3,propuesta_aceptable,include_strict,Chimu,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, North Coast, Lambayeque (Sicán) people",Lambayeque_Sican,1,propuesta_aceptable,include_strict,Lambayeque_Sican,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, Recuay",Recuay,2,propuesta_aceptable,include_strict,Recuay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, South Coast, Inca Culture, Colonial Period, 16th century",Inca,1,propuesta_aceptable,include_strict,Inca,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, South Coast, Paracas",Paracas,2,propuesta_aceptable,include_strict,Paracas,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, South Coast, Paracas, Late Period",Paracas,3,propuesta_aceptable,include_strict,Paracas,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-11th Century",Wari,1,propuesta_aceptable,include_strict,Wari,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",Wari,5,propuesta_aceptable,include_strict,Wari,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"South America, Peru, Central Andes, Middle Horizon, Wari people, 7th-11th century",Wari,1,propuesta_aceptable,include_strict,Wari,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Chancay,Chancay,12,propuesta_aceptable,include_strict,Chancay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Chimú,Chimu,2,propuesta_aceptable,include_strict,Chimu,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Chuquibamba,Chuquibamba,1,propuesta_aceptable,include_strict,Chuquibamba,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Inca,Inca,15,propuesta_aceptable,include_strict,Inca,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Moche,Moche,2,propuesta_aceptable,include_strict,Moche,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Nasca,Nasca,34,propuesta_aceptable,include_strict,Nasca,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Paracas,Paracas,37,propuesta_aceptable,include_strict,Paracas,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Recuay,Recuay,1,propuesta_aceptable,include_strict,Recuay,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
MET,Wari,Wari,5,propuesta_aceptable,include_strict,Wari,direct,True,pending_curatorial_review,Propuesta automática clara. Requiere confirmación curatorial antes de aplicarse al corpus.,,
CMA,"Central Andes, North Central Coast, Moche-Wari Style",Wari | Moche,1,revisar_compuesta,pending,Wari | Moche,composite,False,pending_curatorial_review,La etiqueta contiene más de una atribución cultural y no debe reducirse automáticamente a una sola cultura.,,
CMA,"Peru, Central Andes, Chimú or Chimú-Inka, 11th-16th century",Inca | Chimu,1,revisar_incierta,pending,Inca | Chimu,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, Central Coast, Chancay-Chimú style, 11th-15th century",Chancay | Chimu,1,revisar_compuesta,pending,Chancay | Chimu,composite,False,pending_curatorial_review,La etiqueta contiene más de una atribución cultural y no debe reducirse automáticamente a una sola cultura.,,
CMA,"Peru, Chimú or Chimú-Inka, 12th-16th century",Inca | Chimu,1,revisar_incierta,pending,Inca | Chimu,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, North Coast, Chimu-Inka",Inca | Chimu,1,revisar_compuesta,pending,Inca | Chimu,composite,False,pending_curatorial_review,La etiqueta contiene más de una atribución cultural y no debe reducirse automáticamente a una sola cultura.,,
CMA,"Peru, North Coast, Chimú style, 1200-1460s",Chimu,1,revisar_estilo,pending,Chimu,style,False,pending_curatorial_review,"La atribución expresa estilo o afinidad estilística, no necesariamente pertenencia cultural directa.",,
CMA,"Peru, North Coast, Chimú style, 1200–1460s",Chimu,1,revisar_estilo,pending,Chimu,style,False,pending_curatorial_review,"La atribución expresa estilo o afinidad estilística, no necesariamente pertenencia cultural directa.",,
CMA,"Peru, South Coast, Arica culture, or Chile, North Coast, 13th-15th century",Arica,2,revisar_incierta,pending,Arica,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Ica Valley ?, Inca Culture, 15th-16th century",Inca,1,revisar_incierta,pending,Inca,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Ica Valley, Chavín style",Chavin,1,revisar_estilo,pending,Chavin,style,False,pending_curatorial_review,"La atribución expresa estilo o afinidad estilística, no necesariamente pertenencia cultural directa.",,
CMA,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",Paracas,3,revisar_estilo,pending,Paracas,style,False,pending_curatorial_review,"La atribución expresa estilo o afinidad estilística, no necesariamente pertenencia cultural directa.",,
CMA,"Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",Paracas,9,revisar_estilo,pending,Paracas,style,False,pending_curatorial_review,"La atribución expresa estilo o afinidad estilística, no necesariamente pertenencia cultural directa.",,
CMA,"Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people",Paracas,1,revisar_incierta,pending,Paracas,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people (700 BCE-1 CE)",Paracas,1,revisar_incierta,pending,Paracas,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Nasca-Huari style",Nasca | Wari,1,revisar_compuesta,pending,Nasca | Wari,composite,False,pending_curatorial_review,La etiqueta contiene más de una atribución cultural y no debe reducirse automáticamente a una sola cultura.,,
CMA,"Peru, South Coast, Paracas (700 BC -AD 1), Yauca Valley?",Paracas,1,revisar_incierta,pending,Paracas,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Paracas (Cavernas) style",Paracas,2,revisar_estilo,pending,Paracas,style,False,pending_curatorial_review,"La atribución expresa estilo o afinidad estilística, no necesariamente pertenencia cultural directa.",,
CMA,"Peru, South Coast, Paracas (Cavernas) style (700 BCE–1 CE)",Paracas,1,revisar_estilo,pending,Paracas,style,False,pending_curatorial_review,"La atribución expresa estilo o afinidad estilística, no necesariamente pertenencia cultural directa.",,
CMA,"Peru, South Coast, Paracas or Nasca?",Paracas | Nasca,1,revisar_incierta,pending,Paracas | Nasca,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Paracas, Carhua or Chucho?",Paracas,1,revisar_incierta,pending,Paracas,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Paracas, Carhua?",Paracas,1,revisar_incierta,pending,Paracas,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Coast, Paracas, Yauca Valley(?)",Paracas,2,revisar_incierta,pending,Paracas,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
CMA,"Peru, South Highlands or South Coast, Chuquibamba style, 12th-16th century",Chuquibamba,1,revisar_incierta,pending,Chuquibamba,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
MET,Inca (?),Inca,1,revisar_incierta,pending,Inca,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
MET,Inca and Spanish,Inca | Spanish,1,revisar_compuesta,pending,Inca | Spanish,composite,False,pending_curatorial_review,La etiqueta contiene más de una atribución cultural y no debe reducirse automáticamente a una sola cultura.,,
MET,Nasca (?),Nasca,4,revisar_incierta,pending,Nasca,uncertain,False,pending_curatorial_review,"La fuente contiene incertidumbre explícita, alternativas o signos de interrogación.",,
MET,Nasca-Wari,Nasca | Wari,1,revisar_compuesta,pending,Nasca | Wari,composite,False,pending_curatorial_review,La etiqueta contiene más de una atribución cultural y no debe reducirse automáticamente a una sola cultura.,,
