configuration,candidate_rank,candidate_item_id,candidate_museum,top1_count,self_match_count,false_top1_count,top1_share,is_top1_hub
text_visual,1,MET:308048,MET,54,1,53,0.251162790698,True
text_visual,2,MET:308290,MET,16,0,16,0.0744186046512,True
text_visual,3,CMA:104241,CMA,14,0,14,0.0651162790698,True
text_visual,4,CMA:119689,CMA,13,0,13,0.0604651162791,True
text_visual,5,MET:318460,MET,12,0,12,0.0558139534884,True
text_visual,6,MET:313121,MET,10,0,10,0.046511627907,True
text_visual,7,CMA:119687,CMA,9,0,9,0.0418604651163,True
text_visual,8,MET:320054,MET,9,0,9,0.0418604651163,True
text_visual,9,MET:308070,MET,7,0,7,0.0325581395349,True
text_visual,10,MET:309528,MET,7,0,7,0.0325581395349,True
text_visual,11,CMA:165184,CMA,5,0,5,0.0232558139535,True
text_visual,12,CMA:165268,CMA,5,0,5,0.0232558139535,True
text_visual,13,MET:313153,MET,5,0,5,0.0232558139535,True
text_visual,14,CMA:152819,CMA,4,0,4,0.0186046511628,True
text_visual,15,MET:307944,MET,4,0,4,0.0186046511628,True
text_visual,16,MET:308058,MET,4,0,4,0.0186046511628,True
text_visual,17,CMA:155934,CMA,3,0,3,0.0139534883721,True
text_visual,18,CMA:169189,CMA,3,1,2,0.0139534883721,True
text_visual,19,CMA:104247,CMA,2,0,2,0.0093023255814,False
text_visual,20,CMA:124741,CMA,2,0,2,0.0093023255814,False
text_visual,21,MET:307961,MET,2,0,2,0.0093023255814,False
text_visual,22,MET:315690,MET,2,0,2,0.0093023255814,False
text_visual,23,MET:315786,MET,2,0,2,0.0093023255814,False
text_visual,24,MET:675980,MET,2,0,2,0.0093023255814,False
text_visual,25,CMA:102924,CMA,1,0,1,0.0046511627907,False
text_visual,26,CMA:104236,CMA,1,0,1,0.0046511627907,False
text_visual,27,CMA:104390,CMA,1,0,1,0.0046511627907,False
text_visual,28,CMA:108043,CMA,1,0,1,0.0046511627907,False
text_visual,29,CMA:119690,CMA,1,0,1,0.0046511627907,False
text_visual,30,CMA:124739,CMA,1,0,1,0.0046511627907,False
text_visual,31,CMA:134765,CMA,1,0,1,0.0046511627907,False
text_visual,32,CMA:152258,CMA,1,0,1,0.0046511627907,False
text_visual,33,CMA:152334,CMA,1,0,1,0.0046511627907,False
text_visual,34,CMA:160692,CMA,1,0,1,0.0046511627907,False
text_visual,35,CMA:163724,CMA,1,0,1,0.0046511627907,False
text_visual,36,CMA:164429,CMA,1,0,1,0.0046511627907,False
text_visual,37,CMA:164430,CMA,1,0,1,0.0046511627907,False
text_visual,38,MET:307968,MET,1,0,1,0.0046511627907,False
text_visual,39,MET:308035,MET,1,0,1,0.0046511627907,False
text_visual,40,MET:310699,MET,1,0,1,0.0046511627907,False
text_visual,41,MET:314363,MET,1,0,1,0.0046511627907,False
text_visual,42,MET:316939,MET,1,0,1,0.0046511627907,False
text_visual,43,CMA:114131,CMA,1,1,0,0.0046511627907,False
text_visual,44,CMA:104234,CMA,0,0,0,0,False
text_visual,45,CMA:104238,CMA,0,0,0,0,False
text_visual,46,CMA:104240,CMA,0,0,0,0,False
text_visual,47,CMA:104242,CMA,0,0,0,0,False
text_visual,48,CMA:104243,CMA,0,0,0,0,False
text_visual,49,CMA:104244,CMA,0,0,0,0,False
text_visual,50,CMA:104245,CMA,0,0,0,0,False
text_visual,51,CMA:104246,CMA,0,0,0,0,False
text_visual,52,CMA:104248,CMA,0,0,0,0,False
text_visual,53,CMA:104249,CMA,0,0,0,0,False
text_visual,54,CMA:108026,CMA,0,0,0,0,False
text_visual,55,CMA:108033,CMA,0,0,0,0,False
text_visual,56,CMA:108034,CMA,0,0,0,0,False
text_visual,57,CMA:108038,CMA,0,0,0,0,False
text_visual,58,CMA:108042,CMA,0,0,0,0,False
text_visual,59,CMA:108044,CMA,0,0,0,0,False
text_visual,60,CMA:114132,CMA,0,0,0,0,False
text_visual,61,CMA:119652,CMA,0,0,0,0,False
text_visual,62,CMA:119655,CMA,0,0,0,0,False
text_visual,63,CMA:119656,CMA,0,0,0,0,False
text_visual,64,CMA:119675,CMA,0,0,0,0,False
text_visual,65,CMA:119676,CMA,0,0,0,0,False
text_visual,66,CMA:119677,CMA,0,0,0,0,False
text_visual,67,CMA:119678,CMA,0,0,0,0,False
text_visual,68,CMA:119679,CMA,0,0,0,0,False
text_visual,69,CMA:119680,CMA,0,0,0,0,False
text_visual,70,CMA:119682,CMA,0,0,0,0,False
text_visual,71,CMA:119683,CMA,0,0,0,0,False
text_visual,72,CMA:119684,CMA,0,0,0,0,False
text_visual,73,CMA:119685,CMA,0,0,0,0,False
text_visual,74,CMA:119686,CMA,0,0,0,0,False
text_visual,75,CMA:119688,CMA,0,0,0,0,False
text_visual,76,CMA:119693,CMA,0,0,0,0,False
text_visual,77,CMA:124413,CMA,0,0,0,0,False
text_visual,78,CMA:124740,CMA,0,0,0,0,False
text_visual,79,CMA:125095,CMA,0,0,0,0,False
text_visual,80,CMA:126684,CMA,0,0,0,0,False
text_visual,81,CMA:128454,CMA,0,0,0,0,False
text_visual,82,CMA:130555,CMA,0,0,0,0,False
text_visual,83,CMA:134395,CMA,0,0,0,0,False
text_visual,84,CMA:134604,CMA,0,0,0,0,False
text_visual,85,CMA:134948,CMA,0,0,0,0,False
text_visual,86,CMA:137312,CMA,0,0,0,0,False
text_visual,87,CMA:149062,CMA,0,0,0,0,False
text_visual,88,CMA:155505,CMA,0,0,0,0,False
text_visual,89,CMA:156237,CMA,0,0,0,0,False
text_visual,90,CMA:157111,CMA,0,0,0,0,False
text_visual,91,CMA:157112,CMA,0,0,0,0,False
text_visual,92,CMA:160691,CMA,0,0,0,0,False
text_visual,93,CMA:163622,CMA,0,0,0,0,False
text_visual,94,CMA:163640,CMA,0,0,0,0,False
text_visual,95,CMA:163676,CMA,0,0,0,0,False
text_visual,96,CMA:163708,CMA,0,0,0,0,False
text_visual,97,CMA:163758,CMA,0,0,0,0,False
text_visual,98,CMA:163781,CMA,0,0,0,0,False
text_visual,99,CMA:164419,CMA,0,0,0,0,False
text_visual,100,CMA:164421,CMA,0,0,0,0,False
text_visual,101,CMA:164428,CMA,0,0,0,0,False
text_visual,102,CMA:165266,CMA,0,0,0,0,False
text_visual,103,CMA:165267,CMA,0,0,0,0,False
text_visual,104,CMA:165269,CMA,0,0,0,0,False
text_visual,105,CMA:166766,CMA,0,0,0,0,False
text_visual,106,CMA:292530,CMA,0,0,0,0,False
text_visual,107,CMA:302272,CMA,0,0,0,0,False
text_visual,108,MET:307449,MET,0,0,0,0,False
text_visual,109,MET:307677,MET,0,0,0,0,False
text_visual,110,MET:307679,MET,0,0,0,0,False
text_visual,111,MET:307682,MET,0,0,0,0,False
text_visual,112,MET:307683,MET,0,0,0,0,False
text_visual,113,MET:307806,MET,0,0,0,0,False
text_visual,114,MET:307836,MET,0,0,0,0,False
text_visual,115,MET:307841,MET,0,0,0,0,False
text_visual,116,MET:307842,MET,0,0,0,0,False
text_visual,117,MET:307843,MET,0,0,0,0,False
text_visual,118,MET:307844,MET,0,0,0,0,False
text_visual,119,MET:307846,MET,0,0,0,0,False
text_visual,120,MET:307851,MET,0,0,0,0,False
text_visual,121,MET:307852,MET,0,0,0,0,False
text_visual,122,MET:307853,MET,0,0,0,0,False
text_visual,123,MET:307933,MET,0,0,0,0,False
text_visual,124,MET:307940,MET,0,0,0,0,False
text_visual,125,MET:307941,MET,0,0,0,0,False
text_visual,126,MET:307943,MET,0,0,0,0,False
text_visual,127,MET:307950,MET,0,0,0,0,False
text_visual,128,MET:307953,MET,0,0,0,0,False
text_visual,129,MET:307959,MET,0,0,0,0,False
text_visual,130,MET:307960,MET,0,0,0,0,False
text_visual,131,MET:307962,MET,0,0,0,0,False
text_visual,132,MET:307963,MET,0,0,0,0,False
text_visual,133,MET:307964,MET,0,0,0,0,False
text_visual,134,MET:307965,MET,0,0,0,0,False
text_visual,135,MET:307966,MET,0,0,0,0,False
text_visual,136,MET:307967,MET,0,0,0,0,False
text_visual,137,MET:307972,MET,0,0,0,0,False
text_visual,138,MET:307975,MET,0,0,0,0,False
text_visual,139,MET:307991,MET,0,0,0,0,False
text_visual,140,MET:308015,MET,0,0,0,0,False
text_visual,141,MET:308016,MET,0,0,0,0,False
text_visual,142,MET:308017,MET,0,0,0,0,False
text_visual,143,MET:308021,MET,0,0,0,0,False
text_visual,144,MET:308022,MET,0,0,0,0,False
text_visual,145,MET:308023,MET,0,0,0,0,False
text_visual,146,MET:308024,MET,0,0,0,0,False
text_visual,147,MET:308025,MET,0,0,0,0,False
text_visual,148,MET:308026,MET,0,0,0,0,False
text_visual,149,MET:308027,MET,0,0,0,0,False
text_visual,150,MET:308028,MET,0,0,0,0,False
text_visual,151,MET:308029,MET,0,0,0,0,False
text_visual,152,MET:308034,MET,0,0,0,0,False
text_visual,153,MET:308036,MET,0,0,0,0,False
text_visual,154,MET:308037,MET,0,0,0,0,False
text_visual,155,MET:308039,MET,0,0,0,0,False
text_visual,156,MET:308040,MET,0,0,0,0,False
text_visual,157,MET:308042,MET,0,0,0,0,False
text_visual,158,MET:308044,MET,0,0,0,0,False
text_visual,159,MET:308046,MET,0,0,0,0,False
text_visual,160,MET:308053,MET,0,0,0,0,False
text_visual,161,MET:308056,MET,0,0,0,0,False
text_visual,162,MET:308057,MET,0,0,0,0,False
text_visual,163,MET:308060,MET,0,0,0,0,False
text_visual,164,MET:308068,MET,0,0,0,0,False
text_visual,165,MET:308072,MET,0,0,0,0,False
text_visual,166,MET:308076,MET,0,0,0,0,False
text_visual,167,MET:308077,MET,0,0,0,0,False
text_visual,168,MET:308078,MET,0,0,0,0,False
text_visual,169,MET:308079,MET,0,0,0,0,False
text_visual,170,MET:308083,MET,0,0,0,0,False
text_visual,171,MET:308084,MET,0,0,0,0,False
text_visual,172,MET:308098,MET,0,0,0,0,False
text_visual,173,MET:308100,MET,0,0,0,0,False
text_visual,174,MET:308101,MET,0,0,0,0,False
text_visual,175,MET:308105,MET,0,0,0,0,False
text_visual,176,MET:308106,MET,0,0,0,0,False
text_visual,177,MET:308113,MET,0,0,0,0,False
text_visual,178,MET:308120,MET,0,0,0,0,False
text_visual,179,MET:308282,MET,0,0,0,0,False
text_visual,180,MET:308283,MET,0,0,0,0,False
text_visual,181,MET:308284,MET,0,0,0,0,False
text_visual,182,MET:308285,MET,0,0,0,0,False
text_visual,183,MET:310059,MET,0,0,0,0,False
text_visual,184,MET:310511,MET,0,0,0,0,False
text_visual,185,MET:310695,MET,0,0,0,0,False
text_visual,186,MET:310697,MET,0,0,0,0,False
text_visual,187,MET:310698,MET,0,0,0,0,False
text_visual,188,MET:312614,MET,0,0,0,0,False
text_visual,189,MET:312615,MET,0,0,0,0,False
text_visual,190,MET:312669,MET,0,0,0,0,False
text_visual,191,MET:313152,MET,0,0,0,0,False
text_visual,192,MET:313324,MET,0,0,0,0,False
text_visual,193,MET:314528,MET,0,0,0,0,False
text_visual,194,MET:315700,MET,0,0,0,0,False
text_visual,195,MET:315708,MET,0,0,0,0,False
text_visual,196,MET:315772,MET,0,0,0,0,False
text_visual,197,MET:316892,MET,0,0,0,0,False
text_visual,198,MET:316894,MET,0,0,0,0,False
text_visual,199,MET:316906,MET,0,0,0,0,False
text_visual,200,MET:316910,MET,0,0,0,0,False
text_visual,201,MET:316913,MET,0,0,0,0,False
text_visual,202,MET:316915,MET,0,0,0,0,False
text_visual,203,MET:316916,MET,0,0,0,0,False
text_visual,204,MET:316921,MET,0,0,0,0,False
text_visual,205,MET:316925,MET,0,0,0,0,False
text_visual,206,MET:316931,MET,0,0,0,0,False
text_visual,207,MET:316935,MET,0,0,0,0,False
text_visual,208,MET:316945,MET,0,0,0,0,False
text_visual,209,MET:317736,MET,0,0,0,0,False
text_visual,210,MET:318746,MET,0,0,0,0,False
text_visual,211,MET:319524,MET,0,0,0,0,False
text_visual,212,MET:319574,MET,0,0,0,0,False
text_visual,213,MET:320804,MET,0,0,0,0,False
text_visual,214,MET:751900,MET,0,0,0,0,False
text_visual,215,MET:833953,MET,0,0,0,0,False
text_metadata,1,MET:316913,MET,41,0,41,0.190697674419,True
text_metadata,2,MET:308070,MET,17,0,17,0.0790697674419,True
text_metadata,3,MET:308048,MET,15,0,15,0.0697674418605,True
text_metadata,4,MET:308283,MET,13,0,13,0.0604651162791,True
text_metadata,5,MET:318460,MET,12,0,12,0.0558139534884,True
text_metadata,6,MET:308039,MET,11,0,11,0.0511627906977,True
text_metadata,7,CMA:164430,CMA,10,0,10,0.046511627907,True
text_metadata,8,CMA:124413,CMA,7,0,7,0.0325581395349,True
text_metadata,9,CMA:165184,CMA,7,0,7,0.0325581395349,True
text_metadata,10,MET:315786,MET,7,0,7,0.0325581395349,True
text_metadata,11,MET:313153,MET,6,0,6,0.0279069767442,True
text_metadata,12,CMA:104241,CMA,5,0,5,0.0232558139535,True
text_metadata,13,CMA:130555,CMA,5,0,5,0.0232558139535,True
text_metadata,14,MET:307960,MET,4,0,4,0.0186046511628,True
text_metadata,15,MET:308028,MET,4,0,4,0.0186046511628,True
text_metadata,16,MET:310699,MET,4,0,4,0.0186046511628,True
text_metadata,17,CMA:119682,CMA,3,0,3,0.0139534883721,True
text_metadata,18,CMA:119689,CMA,3,0,3,0.0139534883721,True
text_metadata,19,CMA:152334,CMA,3,0,3,0.0139534883721,True
text_metadata,20,CMA:157111,CMA,3,0,3,0.0139534883721,True
text_metadata,21,MET:308058,MET,3,0,3,0.0139534883721,True
text_metadata,22,CMA:134395,CMA,2,0,2,0.0093023255814,False
text_metadata,23,CMA:164429,CMA,2,0,2,0.0093023255814,False
text_metadata,24,CMA:165268,CMA,2,0,2,0.0093023255814,False
text_metadata,25,CMA:302272,CMA,2,0,2,0.0093023255814,False
text_metadata,26,MET:308100,MET,2,0,2,0.0093023255814,False
text_metadata,27,MET:320054,MET,2,0,2,0.0093023255814,False
text_metadata,28,MET:675980,MET,2,0,2,0.0093023255814,False
text_metadata,29,CMA:169189,CMA,2,1,1,0.0093023255814,False
text_metadata,30,CMA:108043,CMA,1,0,1,0.0046511627907,False
text_metadata,31,CMA:119680,CMA,1,0,1,0.0046511627907,False
text_metadata,32,CMA:119685,CMA,1,0,1,0.0046511627907,False
text_metadata,33,CMA:119690,CMA,1,0,1,0.0046511627907,False
text_metadata,34,CMA:134765,CMA,1,0,1,0.0046511627907,False
text_metadata,35,CMA:152258,CMA,1,0,1,0.0046511627907,False
text_metadata,36,CMA:160691,CMA,1,0,1,0.0046511627907,False
text_metadata,37,CMA:163724,CMA,1,0,1,0.0046511627907,False
text_metadata,38,CMA:164428,CMA,1,0,1,0.0046511627907,False
text_metadata,39,MET:307944,MET,1,0,1,0.0046511627907,False
text_metadata,40,MET:307961,MET,1,0,1,0.0046511627907,False
text_metadata,41,MET:308035,MET,1,0,1,0.0046511627907,False
text_metadata,42,MET:316939,MET,1,0,1,0.0046511627907,False
text_metadata,43,MET:320804,MET,1,0,1,0.0046511627907,False
text_metadata,44,CMA:114131,CMA,1,1,0,0.0046511627907,False
text_metadata,45,CMA:157112,CMA,1,1,0,0.0046511627907,False
text_metadata,46,CMA:102924,CMA,0,0,0,0,False
text_metadata,47,CMA:104234,CMA,0,0,0,0,False
text_metadata,48,CMA:104236,CMA,0,0,0,0,False
text_metadata,49,CMA:104238,CMA,0,0,0,0,False
text_metadata,50,CMA:104240,CMA,0,0,0,0,False
text_metadata,51,CMA:104242,CMA,0,0,0,0,False
text_metadata,52,CMA:104243,CMA,0,0,0,0,False
text_metadata,53,CMA:104244,CMA,0,0,0,0,False
text_metadata,54,CMA:104245,CMA,0,0,0,0,False
text_metadata,55,CMA:104246,CMA,0,0,0,0,False
text_metadata,56,CMA:104247,CMA,0,0,0,0,False
text_metadata,57,CMA:104248,CMA,0,0,0,0,False
text_metadata,58,CMA:104249,CMA,0,0,0,0,False
text_metadata,59,CMA:104390,CMA,0,0,0,0,False
text_metadata,60,CMA:108026,CMA,0,0,0,0,False
text_metadata,61,CMA:108033,CMA,0,0,0,0,False
text_metadata,62,CMA:108034,CMA,0,0,0,0,False
text_metadata,63,CMA:108038,CMA,0,0,0,0,False
text_metadata,64,CMA:108042,CMA,0,0,0,0,False
text_metadata,65,CMA:108044,CMA,0,0,0,0,False
text_metadata,66,CMA:114132,CMA,0,0,0,0,False
text_metadata,67,CMA:119652,CMA,0,0,0,0,False
text_metadata,68,CMA:119655,CMA,0,0,0,0,False
text_metadata,69,CMA:119656,CMA,0,0,0,0,False
text_metadata,70,CMA:119675,CMA,0,0,0,0,False
text_metadata,71,CMA:119676,CMA,0,0,0,0,False
text_metadata,72,CMA:119677,CMA,0,0,0,0,False
text_metadata,73,CMA:119678,CMA,0,0,0,0,False
text_metadata,74,CMA:119679,CMA,0,0,0,0,False
text_metadata,75,CMA:119683,CMA,0,0,0,0,False
text_metadata,76,CMA:119684,CMA,0,0,0,0,False
text_metadata,77,CMA:119686,CMA,0,0,0,0,False
text_metadata,78,CMA:119687,CMA,0,0,0,0,False
text_metadata,79,CMA:119688,CMA,0,0,0,0,False
text_metadata,80,CMA:119693,CMA,0,0,0,0,False
text_metadata,81,CMA:124739,CMA,0,0,0,0,False
text_metadata,82,CMA:124740,CMA,0,0,0,0,False
text_metadata,83,CMA:124741,CMA,0,0,0,0,False
text_metadata,84,CMA:125095,CMA,0,0,0,0,False
text_metadata,85,CMA:126684,CMA,0,0,0,0,False
text_metadata,86,CMA:128454,CMA,0,0,0,0,False
text_metadata,87,CMA:134604,CMA,0,0,0,0,False
text_metadata,88,CMA:134948,CMA,0,0,0,0,False
text_metadata,89,CMA:137312,CMA,0,0,0,0,False
text_metadata,90,CMA:149062,CMA,0,0,0,0,False
text_metadata,91,CMA:152819,CMA,0,0,0,0,False
text_metadata,92,CMA:155505,CMA,0,0,0,0,False
text_metadata,93,CMA:155934,CMA,0,0,0,0,False
text_metadata,94,CMA:156237,CMA,0,0,0,0,False
text_metadata,95,CMA:160692,CMA,0,0,0,0,False
text_metadata,96,CMA:163622,CMA,0,0,0,0,False
text_metadata,97,CMA:163640,CMA,0,0,0,0,False
text_metadata,98,CMA:163676,CMA,0,0,0,0,False
text_metadata,99,CMA:163708,CMA,0,0,0,0,False
text_metadata,100,CMA:163758,CMA,0,0,0,0,False
text_metadata,101,CMA:163781,CMA,0,0,0,0,False
text_metadata,102,CMA:164419,CMA,0,0,0,0,False
text_metadata,103,CMA:164421,CMA,0,0,0,0,False
text_metadata,104,CMA:165266,CMA,0,0,0,0,False
text_metadata,105,CMA:165267,CMA,0,0,0,0,False
text_metadata,106,CMA:165269,CMA,0,0,0,0,False
text_metadata,107,CMA:166766,CMA,0,0,0,0,False
text_metadata,108,CMA:292530,CMA,0,0,0,0,False
text_metadata,109,MET:307449,MET,0,0,0,0,False
text_metadata,110,MET:307677,MET,0,0,0,0,False
text_metadata,111,MET:307679,MET,0,0,0,0,False
text_metadata,112,MET:307682,MET,0,0,0,0,False
text_metadata,113,MET:307683,MET,0,0,0,0,False
text_metadata,114,MET:307806,MET,0,0,0,0,False
text_metadata,115,MET:307836,MET,0,0,0,0,False
text_metadata,116,MET:307841,MET,0,0,0,0,False
text_metadata,117,MET:307842,MET,0,0,0,0,False
text_metadata,118,MET:307843,MET,0,0,0,0,False
text_metadata,119,MET:307844,MET,0,0,0,0,False
text_metadata,120,MET:307846,MET,0,0,0,0,False
text_metadata,121,MET:307851,MET,0,0,0,0,False
text_metadata,122,MET:307852,MET,0,0,0,0,False
text_metadata,123,MET:307853,MET,0,0,0,0,False
